no token: 60
								TK_ASSIGNOP,		TK_COMMENT,		TK_FIELDID,		TK_ID,		TK_NUM,		TK_RNUM,		TK_FUNID,		TK_RUID,		TK_WITH,		TK_PARAMETERS,		TK_END,		TK_WHILE,		TK_UNION,		TK_ENDUNION,		TK_DEFINETYPE,		TK_AS,		TK_TYPE,		TK_MAIN,		TK_GLOBAL,		TK_PARAMETER,		TK_LIST,		TK_SQL,		TK_SQR,		TK_INPUT,		TK_OUTPUT,		TK_INT,		TK_REAL,		TK_COMMA,		TK_SEM,		TK_COLON,		TK_DOT,		TK_ENDWHILE,		TK_OP,		TK_CL,		TK_IF,		TK_THEN,		TK_ENDIF,		TK_READ,		TK_WRITE,		TK_RETURN,		TK_PLUS,		TK_MINUS,		TK_MUL,		TK_DIV,		TK_CALL,		TK_RECORD,		TK_ENDRECORD,		TK_ELSE,		TK_AND,		TK_OR,		TK_NOT,		TK_LT,		TK_LE,		TK_EQ,		TK_GT,		TK_GE,		TK_NE,		EPSILON,		DOLLAR,		TK_ERROR,		
remaining_list,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		16,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
stmts,						-1,		-1,		-1,		18,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		18,		18,		-1,		18,		-1,		18,		-1,		-1,		-1,		-1,		18,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		18,		-1,		-1,		18,		18,		18,		-1,		-1,		-1,		-1,		18,		18,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
typeDefinitions,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		19,		-1,		19,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		19,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
actualOrRedefined,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		21,		-1,		22,		-1,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		21,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
typeDefinition,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		24,		-1,		-2,		-1,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		23,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
fieldDefinitions,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		25,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
fieldDefinition,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		26,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
fieldType,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		27,		27,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
moreFields,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		28,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
declarations,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		30,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
declaration,						-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		32,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-2,		-2,		-2,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
global_or_not,						-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		33,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
otherStmts,						-1,		-1,		-1,		35,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		35,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		35,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		35,		-1,		-1,		35,		35,		-1,		-1,		-1,		-1,		-1,		35,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
stmt,						-1,		-1,		-1,		37,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		38,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		41,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-2,		-1,		-1,		39,		-1,		-2,		40,		40,		-2,		-1,		-1,		-1,		-1,		41,		-1,		-1,		-2,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		-1,		
